1,Vostok 1,1961,Vostok 1,Vostok 2,Vostok 3,1.77,0.0,Mil
2,Vostok 2,1961,Vostok 2,Vostok 2,Vostok 2,25,0.0,Mil
3,MA-6,1962,MA-6,MA-6,MA-6,5,0.0,Mil
4,STS-95,1998,STS-95,STS-95,STS-95,213,0.0,mil/civ
5,Mercury-Atlas 7,1962,Mercury-Atlas 7,Mercury-Atlas 7,Mercury-Atlas 7,5,0.0,Mil
6,Vostok 3,1962,Vostok 3,Vostok 3,Vostok 3,94,0.0,Mil
7,Soyuz 9,1970,Soyuz 9,Soyuz 9,Soyuz 9,424,0.0,mil/civ
8,Vostok 4,1962,Vostok 4,Vostok 4,Vostok 4,70.93,0.0,Mil
9,Soyuz 14,1974,Soyuz 14,Soyuz 14,Soyuz 14,377,0.0,mil/civ
10,Mercury-Atlas 8,1962,Mercury-Atlas 8,Mercury-Atlas 8,Mercury-Atlas 8,9.22,0.0,Mil
11,Gemini 6A,1965,Gemini 6A,Gemini 6A,Gemini 6A,25.87,0.0,Mil
12,Apollo 7,1968,Apollo 7,Apollo 7,Apollo 7,260.13,0.0,mil/civ
13,Mercury-Atlas 9,1963,Mercury-Atlas 9,Mercury-Atlas 9,Mercury-Atlas 9,34.32,0.0,Mil
14,Gemini 5,1965,Gemini 5,Gemini 5,Gemini 5,191.92,0.0,mil/civ
15,Vostok 5,1963,Vostok 5,Vostok 5,Vostok 5,119.13,0.0,Mil
16,Soyuz 22,1976,Soyuz 22,Soyuz 22,Soyuz 22,189,0.0,mil/civ
17,Soyuz 31/29,1978,Soyuz 31,Salyut 6,Soyuz 29,188,0.0,Mil
18,Vostok 6,1963,Vostok 6,Vostok 6,Vostok 6,70.83,0.0,Mil
19,Voskhod 1,1964,Voskhod 1,Voskhod 1,Voskhod 1,24.28,0.0,mil/civ
20,Soyuz 1,1967,Soyuz 1,Soyuz 1,Soyuz 1,26.78,0.0,Mil
21,Voskhod 2,1965,Voskhod 2,Voskhod 2,Voskhod 2,26.03,0.73,mil/civ
22,Soyuz 19,1975,Soyuz 19,Soyuz 19/Apollo,Soyuz 19,142,0.0,mil/civ
23,Gemini 3,1965,Gemini 3,Gemini 3,Gemini 3,4.86,0.0,mil/civ
24,Gemini 10,1966,Gemini 10,Gemini 10,Gemini 10,70.77,1.47,mil/civ
25,Apollo 10,1969,Apollo 10,Apollo 10,Apollo 10,192.05,0.0,mil/civ
26,Apollo 16,1972,Apollo 16,Apollo 16,Apollo 16,265.85,41.86,mil/civ
27,STS-1,1981,STS-1,STS-1,STS-1,54.5,0.0,mil/civ
28,STS-9,1983,STS-9,STS-9,STS-9,240,0.0,mil/civ
29,Gemini 4,1965,Gemini 4,Gemini 4,Gemini 4,97,0.33,mil/civ
30,Apollo 9,1969,Apollo 9,Apollo 9,Apollo 9,241,1.13,mil/civ
31,Gemini 11,1966,Gemini 11,Gemini 11,Gemini 11,71,0.0,mil/civ
32,Apollo 12,1969,Apollo 12,Apollo 12,Apollo 12,244,16.83,mil/civ
33,Skylab 2,1973,Skylab 2,Skylab 2,Skylab 2,673,8.44,mil/civ
34,Gemini 7,1965,Gemini 7,Gemini 7,Gemini 7,330.58,0.0,mil/civ
35,Apollo 8,1968,Apollo 8,Apollo 8,Apollo 8,147,0.0,mil/civ
36,Gemini 12,1966,Gemini 12,Gemini 12,Gemini 12,94,5.5,mil/civ
37,Apollo 13,1970,Apollo 13,Apollo 13,Apollo 13,142,0.0,mil/civ
38,gemini 6A,1965,gemini 6A,gemini 6A,gemini 6A,25.86,0.0,Mil
39,Gemini 9A,1966,Gemini 9A,Gemini 9A,Gemini 9A,72,2.12,mil/civ
40,ASTP,1975,ASTP,ASTP,ASTP,217,0.0,mil/civ
41,Gemini 8,1966,Gemini 8,Gemini 8,Gemini 8,11,0.0,mil/civ
42,Apollo 11,1969,Apollo 11,Apollo 11,Apollo 11,195,5.02,mil/civ
43,Apollo 15,1971,Apollo 15,Apollo 15,Apollo 15,312,37.9,mil/civ
44,Apollo 17,1972,Apollo 17,Apollo 17,Apollo 17,302,45.6,mil/civ
45,Salyut 7,1985,Soyuz T­13,Salyut 7,Soyuz T­14,4035,74.5,mil/civ
46,2,1988,Soyuz TM­5,Mir EP,Soyuz TM­4,236,36.76,mil/civ
47,Soyuz 39,1981,Soyuz 39,Soyuz 39,Soyuz 39,188.7,0.0,mil/civ
48,STS-7,1983,STS-7,STS-7,STS-7,146,0.0,mil/civ
49,STS-41-C,1984,STS-41-C,STS-41-C,STS-41-C,168,0.0,mil/civ
50,STS-41-G,1984,STS-41-G,STS-41-G,STS-41-G,197,4.45,mil/civ
51,Soyuz 40,1981,Soyuz 40,Soyuz 40,Soyuz 40,188.7,0.0,Civ
52,STS-2,1981,STS-2,STS-2,STS-2,30,0.0,mil/civ
53,STS-51-I,1985,STS-51-I,STS-51-I,STS-51-I,170,11.76,mil/civ
54,STS-8,1983,STS-8,STS-8,STS-8,145.13,0.0,mil/civ
55,STS-3,1982,STS-3,STS-3,STS-3,192,0.0,mil/civ
56,STS-51-F,1985,STS-51-F,STS-51-F,STS-51-F,190,0.0,mil/civ
57,Mir Aragatz,1988,Soyuz TM-7,Mir,Soyuz TM-6,594,5.95,Mil
58,STS-86,1997,STS-86,STS-86,STS-86,259.3,5.02,mil/civ
59,STS-4,1982,STS-4,STS-4,STS-4,169,0.0,mil/civ
60,STS-41-D,1984,STS-41-D,STS-41-D,STS-41-D,144,0.0,mil/civ
61,STS-61-A,1985,STS-61-A,STS-61-A,STS-61-A,168,0.0,mil/civ
62,Soyuz 3,1968,Soyuz 3,Soyuz 3,Soyuz 3,94.83,0.0,Mil
63,Soyuz 4,1969,Soyuz 4,Soyuz 4/Soyuz 5,Soyuz 4,71.33,0.0,Mil
64,Soyuz 8,1969,Soyuz 8,Soyuz 8,Soyuz 8,118,0.0,mil/civ
65,Soyuz 10,1971,Soyuz 10,Soyuz 10,Soyuz 10,47,0.0,mil/civ
66,Soyuz 5,1969,Soyuz 5,Soyuz 5/Soyuz 4,Soyuz 5,72,0.0,Mil
67,Soyuz 21,1976,Soyuz 21,Soyuz 21,Soyuz 21,1182,0.0,mil/civ
68,Soyuz 5/4,1969,Soyuz 5,Soyuz 5/4,Soyuz 4,47,1.24,mil/civ
69,apollo 9,1969,apollo 9,apollo 9,apollo 9,241,1.13,Civ
70,Soyuz 6,1969,Soyuz 6,Soyuz 6,Soyuz 6,118,0.0,mil/civ
71,Soyuz 36/35,1980,Soyuz 36,Salyut 6,Soyuz 35,188,0.0,mil/civ
72,Soyuz 7,1969,Soyuz 7,Soyuz 7,Soyuz 7,118,0.0,mil/civ
73,Soyuz 16,1974,Soyuz 16,Soyuz 16,Soyuz 16,142,0.0,mil/civ
74,Soyuz 11,1971,Soyuz 11,Salyut 1,Soyuz 11,570,0.0,mil/civ
75,Soyuz 24,1977,Soyuz 24,Salyut 5,Soyuz 24,425,0.0,mil/civ
76,Soyuz 37/36,1980,Soyuz 37,Salyut 6,Soyuz 36,188,0.0,Mil
77,Skylab 3,1973,Apollo CSM-117,Skylab 3,Apollo CSM-117,1427.23,27.4,mil/civ
78,Soyuz 18,1975,Soyuz 18,Salyut 5,Soyuz 18,1511,0.0,Civ
79,Apollo 14,1971,Apollo 14,Apollo 14,Apollo 14,216,18.63,mil/civ
80,Soyuz 33,1979,Soyuz 33,Soyuz 33,Soyuz 33,47,0.0,mil/civ
81,STS-151-C,1985,STS-151-C,STS-151-C,STS-151-C,73,0.0,Mil
82,Skylab-2,1973,Apollo Sk.2,Apollo Sk.2,Apollo Sk.2,267,2.27,Mil
83,STS-6,1983,STS-6,STS-6,STS-6,120,7.7,mil/civ
84,Soyuz 12,1973,Soyuz 12,Soyuz 12,Soyuz 12,47,0.0,mil/civ
85,Soyuz 27/26,1978,Soyuz 27,Salyut 6,Soyuz 26,142,0.0,mil/civ
86,Soyuz T­3,1980,Soyuz T­3,Salyut 6,Soyuz T­3,307,0.0,Civ
87,Skylab 4,1974,Skylab 4,Skylab 4,Skylab 4,2017,44.82,mil/civ
88,Soyuz 13,1973,Soyuz 13,Soyuz 13,Soyuz 13,188,0.0,mil/civ
89,Saluyt 4,1975,Soyuz 18,Saluyt 4,Soyuz 18,1511,0.0,Mil
90,Saluyt 6,1978,Soyuz 30,Saluyt 6,Soyuz 30,190,0.0,Mil
91,Soyuz 15,1974,Soyuz 15,Soyuz 15,Soyuz 15,48,0.0,mil/civ
92,Salyut 4,1975,Soyuz 17,Salyut 4,Soyuz 17,709,0.0,mil/civ
93,Salyut 6,1978,Soyuz 28,Salyut 6,Soyuz 28,190,13.43,mil/civ
94,STS-5,1982,STS-5,STS-5,STS-5,122.25,0.0,mil/civ
95,STS-41-B,1984,STS-41-B,STS-41-B,STS-41-B,191.25,23.97,mil/civ
96,STS-35,1990,STS-35,STS-35,STS-35,215,0.0,mil/civ
97,Soyuz T­2,1980,Soyuz T­2,Salyut 6,Soyuz T­2,94,0.0,Mil
98,Soyuz 23,1976,Soyuz 23,Soyuz 23,Soyuz 23,48,0.0,mil/civ
99,Soyuz 25,1977,Soyuz 25,Soyuz 25,Soyuz 25,48,0.0,mil/civ
100,STS­ 91,1998,STS­ 91,STS­ 91,STS­ 91,235,0.0,Civ
101,Soyuz 26/27,1977,Soyuz 26,Salyut 6,Soyuz 27,2314,1.47,Mil
102,Soyuz 38,1980,Soyuz 38,Salyut 6,Soyuz 38,188,0.0,mil/civ
103,Soyuz 28,1978,Soyuz 28,Soyuz 28,Soyuz 28,190.28,0.0,Mil
104,Soyuz 30,1978,Soyuz 30,Soyuz 30,Soyuz 30,190.03,0.0,Mil
105,Soyuz 31,1978,Soyuz 31,Soyuz 31,Soyuz 29,188.82,0.0,Mil
106,3,1988,Soyuz TM­6,Mir,Soyuz TM­5,212,64.88,mil/civ
107,1,1986,Soyuz T­15,Mir/Salyut 7,Soyuz T­15,3000,17.66,mil/civ
108,Soyuz T­8,1983,Soyuz T­8,Soyuz T­8,Soyuz T­8,48,0.0,mil/civ
109,7,1990,Soyuz TM­10,Mir,Soyuz TM­10,3140,5.5,mil/civ
110,18,1995,Soyuz TM­21,Mir,STS­71,2768,57.09,mil/civ
111,5,1990,Soyuz TM­8,Mir,Soyuz TM­8,3990,54.66,mil/civ
112,14,1993,Soyuz TM­17,Mir,Soyuz TM­17,4721,102.35,mil/civ
113,STS-51-B,1985,STS-51-B,STS-51-B,STS-51-B,168,0.0,mil/civ
114,STS-51-A,1984,STS-51-A,STS-51-A,STS-51-A,191,11.7,mil/civ
115,STS-51-D,1985,STS-51-D,STS-51-D,STS-51-D,236,6.34,mil/civ
116,STS-51-J,1985,STS-51-J,STS-51-J,STS-51-J,98,0.0,mil/civ
117,STS-51F,1985,STS-51F,STS-51F,STS-51F,191,0.0,Civ
118,STS-33,1989,STS-33,STS-33,STS-33,168,0.0,mil/civ
119,STS-44,1991,STS-44,STS-44,STS-44,167,0.0,mil/civ
120,STS-61,1993,STS-61,STS-61,STS-61,260,83.12,mil/civ
121,STS-80,1996,STS-80,STS-80,STS-80,424,0.0,mil/civ
122,STS­63,1995,STS­63,STS­63,STS­63,198,0.0,Mil
123,24,1997,STS­86,Mir,STS­86,259,159.28,mil/civ
124,STS-26,1988,STS-26,STS-26,STS-26,97,0.0,mil/civ
125,STS-51-G,1985,STS-51-G,STS-51-G,STS-51-G,170,0.0,mil/civ
126,STS-51B,1985,STS-51B,STS-51B,STS-51B,168,0.0,Civ
127,STS-30,1989,STS-30,STS-30,STS-30,97,0.0,mil/civ
128,STS-42,1992,STS-42,STS-42,STS-42,192,0.0,mil/civ
129,STS-32,1990,STS-32,STS-32,STS-32,261,0.0,mil/civ
130,STS-49,1992,STS-49,STS-49,STS-49,213,59.87,mil/civ
131,STS-39,1991,STS-39,STS-39,STS-39,199,0.0,mil/civ
132,STS-53,1992,STS-53,STS-53,STS-53,175,0.0,mil/civ
133,STS-51A,1984,STS-51A,STS-51A,STS-51A,191,12.0,Mil
134,STS-61-B,1985,STS-61-B,STS-61-B,STS-61-B,165,12.17,mil/civ
135,STS-28,1989,STS-28,STS-28,STS-28,121,0.0,mil/civ
136,Spacelab 1,1983,STS-9,STS-9,STS-9,247.94,0.0,Mil
137,Atlas-1,1992,STS-45,STS-45,STS-45,214.37,0.0,Mil
138,Euromir 94,1994,Soyuz TM-20,Euromir 94,Soyuz TM-19,756.6,0.0,Civ
139,STS-61-C,1986,STS-61-C,STS-61-C,STS-61-C,146,0.0,mil/civ
140,STS-27,1988,STS-27,STS-27,STS-27,105,0.0,mil/civ
141,STS-47,1992,STS-47,STS-47,STS-47,190.5,0.0,mil/civ
142,STS-71,1995,STS-71,STS-71,STS-71,235.38,0.0,mil/civ
143,STS-51-L,1986,STS-51-L,explosion,explosion,0,0.0,mil/civ
144,STS-41 B,1984,STS-41 B,STS-41 B,STS-41 B,191.5,11.95,Mil
145,STS-51 J,1985,STS-51 J,STS-51 J,STS-51 J,97.7,0.0,Mil
146,STS-31,1990,STS-31,STS-31,STS-31,121,0.0,mil/civ
147,STS-41 C,1984,STS-41 C,STS-41 C,STS-41 C,167,10.13,Civ
148,STS-51I,1985,STS-51I,STS-51I,STS-51I,171,11.76,Civ
149,STS-41C,1984,STS-41C,STS-41C,STS-41C,168,10.1,Civ
150,STS-61C,1986,STS-61C,STS-61C,STS-61C,146,0.0,mil/civ
151,STS-29,1989,STS-29,STS-29,STS-29,120,0.0,mil/civ
152,STS-41D,1984,STS-41D,STS-41D,STS-41D,145,0.0,mil/civ
153,STS-36,1990,STS-36,STS-36,STS-36,106,0.0,mil/civ
154,STS-82,1997,STS-82,STS-82,STS-82,239,66.38,mil/civ
155,STS-93,1999,STS-93,STS-93,STS-93,118,0.0,mil/civ
156,STS-51D,1985,STS-51D,STS-51D,STS-51D,168.15,0.0,mil/civ
157,STS-61B,1985,STS-61B,STS-61B,STS-61B,165.16,0.0,Civ
158,STS-45,1992,STS-45,STS-45,STS-45,213.5,0.0,mil/civ
159,STS-77,1996,STS-77,STS-77,STS-77,240.67,0.0,mil/civ
160,STS-97,2000,STS-97,STS-97,STS-97,260,38.66,mil/civ
161,STS-69,1995,STS-69,STS-69,STS-69,44,13.53,mil/civ
162,STS-51-C,1985,STS-51-C,STS-51-C,STS-51-C,73.5,0.0,mil/civ
163,STS-46,1992,STS-46,STS-46,STS-46,191,0.0,mil/civ
164,STS 51-C,1985,STS 51-C,STS 51-C,STS 51-C,74,0.0,Mil
165,STS 51-L,1986,STS 51-L,explosion,explosion,0,0.0,Mil
166,STS-48,1991,STS-48,STS-48,STS-48,128.5,0.0,mil/civ
167,STS-51C,1985,STS-51C,STS-51C,STS-51C,73.675,0.0,Mil
168,STS-34,1989,STS-34,STS-34,STS-34,119,0.0,mil/civ
169,STS-40,1991,STS-40,STS-40,STS-40,218,0.0,mil/civ
170,STS-58,1993,STS-58,STS-58,STS-58,336,0.0,mil/civ
171,STS-75,1996,STS-75,STS-75,STS-75,377,0.0,mil/civ
172,Spacelab-3,1985,STS-51-B,STS-51-B,STS-51-B,168.525,0.0,Civ
173,spacelab-3,1985,STS-51B,STS-51B,STS-51B,168.525,0.0,Civ
174,STS-51G,1985,STS-51G,STS-51G,STS-51G,170,0.0,mil/civ
175,STS-61A,1985,STS-61A,STS-61A,STS-61A,169,0.0,mil/civ
176,STS-37,1991,STS-37,STS-37,STS-37,143,21.4,mil/civ
177,STS-55,1993,STS-55,STS-55,STS-55,240,4.65,mil/civ
178,STS-43,1991,STS-43,STS-43,STS-43,213,0.0,mil/civ
179,22,1996,STS-79,Mir,STS-76,4516,18.33,mil/civ
180,Spacelab-2,1978,STS-51-F,STS-51-F,STS-51-F,190.94,0.0,Civ
181,STS-38,1990,STS-38,STS-38,STS-38,118,0.0,mil/civ
182,4,1989,Soyuz TM­7,Mir,Soyuz TM­7,3635,41.63,mil/civ
183,10,1992,Soyuz TM­13,Mir,Soyuz TM­13,4202,24.17,mil/civ
184,STS-57,1993,STS-57,STS-57,STS-57,239,11.66,mil/civ
185,STS-50,1992,STS-50,STS-50,STS-50,331,0.0,mil/civ
186,STS-89,1998,STS-89,STS-89,STS-89,211,0.0,mil/civ
